,date,open,high,low,close,ma_7,ma_15,ma_30
29,2022-12-08 15:55:00,22532000.0,22536000.0,22514000.0,22528000.0,22523857.14285714,22520600.0,22516133.333333332
30,2022-12-08 16:00:00,22518000.0,22535000.0,22512000.0,22535000.0,22526285.714285713,22520866.666666668,22517200.0
31,2022-12-08 16:05:00,22535000.0,22536000.0,22514000.0,22531000.0,22528571.42857143,22520733.333333332,22518166.666666668
32,2022-12-08 16:10:00,22531000.0,22536000.0,22530000.0,22535000.0,22529714.285714287,22520266.666666668,22519100.0
33,2022-12-08 16:15:00,22535000.0,22566000.0,22532000.0,22564000.0,22535857.14285714,22524133.333333332,22520900.0
34,2022-12-08 16:20:00,22562000.0,22578000.0,22550000.0,22552000.0,22539714.285714287,22527666.666666668,22522266.666666668
35,2022-12-08 16:25:00,22551000.0,22569000.0,22551000.0,22557000.0,22543142.85714286,22530333.333333332,22523600.0
36,2022-12-08 16:30:00,22557000.0,22572000.0,22548000.0,22550000.0,22546285.714285713,22532933.333333332,22524966.666666668
37,2022-12-08 16:35:00,22550000.0,22557000.0,22546000.0,22551000.0,22548571.42857143,22536133.333333332,22526600.0
38,2022-12-08 16:40:00,22557000.0,22564000.0,22551000.0,22552000.0,22551571.42857143,22538400.0,22528333.333333332
39,2022-12-08 16:45:00,22552000.0,22557000.0,22545000.0,22555000.0,22554428.57142857,22541066.666666668,22529600.0
40,2022-12-08 16:50:00,22555000.0,22596000.0,22545000.0,22578000.0,22556428.57142857,22544466.666666668,22531933.333333332
41,2022-12-08 16:55:00,22578000.0,22587000.0,22549000.0,22557000.0,22557142.85714286,22546866.666666668,22533500.0
42,2022-12-08 17:00:00,22567000.0,22570000.0,22537000.0,22542000.0,22555000.0,22548000.0,22534600.0
43,2022-12-08 17:05:00,22537000.0,22570000.0,22537000.0,22550000.0,22555000.0,22549133.333333332,22535400.0
44,2022-12-08 17:10:00,22550000.0,22575000.0,22544000.0,22573000.0,22558142.85714286,22552133.333333332,22536366.666666668
45,2022-12-08 17:15:00,22574000.0,22575000.0,22550000.0,22574000.0,22561285.714285713,22554733.333333332,22537800.0
46,2022-12-08 17:20:00,22574000.0,22574000.0,22545000.0,22545000.0,22559857.14285714,22555666.666666668,22538200.0
47,2022-12-08 17:25:00,22547000.0,22565000.0,22543000.0,22565000.0,22558000.0,22557666.666666668,22538966.666666668
48,2022-12-08 17:30:00,22544000.0,22571000.0,22543000.0,22562000.0,22558714.285714287,22557533.333333332,22540833.333333332
49,2022-12-08 17:35:00,22562000.0,22572000.0,22562000.0,22571000.0,22562857.14285714,22558800.0,22543233.333333332
50,2022-12-08 17:40:00,22563000.0,22576000.0,22549000.0,22560000.0,22564285.714285713,22559000.0,22544666.666666668
51,2022-12-08 17:45:00,22553000.0,22573000.0,22551000.0,22552000.0,22561285.714285713,22559133.333333332,22546033.333333332
52,2022-12-08 17:50:00,22568000.0,22573000.0,22549000.0,22573000.0,22561142.85714286,22560600.0,22548366.666666668
53,2022-12-08 17:55:00,22573000.0,22573000.0,22552000.0,22567000.0,22564285.714285713,22561600.0,22550000.0
54,2022-12-08 18:00:00,22576000.0,22595000.0,22560000.0,22584000.0,22567000.0,22563533.333333332,22552300.0
55,2022-12-08 18:05:00,22587000.0,22588000.0,22547000.0,22556000.0,22566142.85714286,22562066.666666668,22553266.666666668
56,2022-12-08 18:10:00,22556000.0,22573000.0,22545000.0,22552000.0,22563428.57142857,22561733.333333332,22554300.0
57,2022-12-08 18:15:00,22547000.0,22589000.0,22547000.0,22558000.0,22563142.85714286,22562800.0,22555400.0
58,2022-12-08 18:20:00,22558000.0,22585000.0,22546000.0,22577000.0,22566714.285714287,22564600.0,22556866.666666668
59,2022-12-08 18:25:00,22577000.0,22588000.0,22543000.0,22544000.0,22562571.42857143,22562666.666666668,22557400.0
60,2022-12-08 18:30:00,22569000.0,22583000.0,22543000.0,22554000.0,22560714.285714287,22561333.333333332,22558033.333333332
61,2022-12-08 18:35:00,22553000.0,22564000.0,22543000.0,22550000.0,22555857.14285714,22561666.666666668,22558666.666666668
62,2022-12-08 18:40:00,22549000.0,22559000.0,22538000.0,22543000.0,22554000.0,22560200.0,22558933.333333332
63,2022-12-08 18:45:00,22541000.0,22549000.0,22535000.0,22549000.0,22553571.42857143,22559333.333333332,22558433.333333332
64,2022-12-08 18:50:00,22549000.0,22558000.0,22538000.0,22552000.0,22552714.285714287,22558066.666666668,22558433.333333332
65,2022-12-08 18:55:00,22539000.0,22553000.0,22536000.0,22536000.0,22546857.14285714,22556466.666666668,22557733.333333332
66,2022-12-08 19:00:00,22547000.0,22547000.0,22536000.0,22544000.0,22546857.14285714,22555933.333333332,22557533.333333332
67,2022-12-08 19:05:00,22545000.0,22545000.0,22536000.0,22539000.0,22544714.285714287,22553666.666666668,22557133.333333332
68,2022-12-08 19:10:00,22544000.0,22552000.0,22537000.0,22551000.0,22544857.14285714,22552600.0,22557100.0
69,2022-12-08 19:15:00,22551000.0,22559000.0,22537000.0,22541000.0,22544571.42857143,22549733.333333332,22556633.333333332
70,2022-12-08 19:20:00,22541000.0,22553000.0,22539000.0,22545000.0,22544000.0,22549000.0,22555533.333333332
71,2022-12-08 19:25:00,22545000.0,22557000.0,22538000.0,22555000.0,22544428.57142857,22549200.0,22555466.666666668
72,2022-12-08 19:30:00,22555000.0,22559000.0,22539000.0,22552000.0,22546714.285714287,22548800.0,22555800.0
73,2022-12-08 19:35:00,22542000.0,22555000.0,22541000.0,22552000.0,22547857.14285714,22547133.333333332,22555866.666666668
74,2022-12-08 19:40:00,22552000.0,22555000.0,22539000.0,22550000.0,22549428.57142857,22547533.333333332,22555100.0
75,2022-12-08 19:45:00,22550000.0,22550000.0,22542000.0,22544000.0,22548428.57142857,22546866.666666668,22554100.0
76,2022-12-08 19:50:00,22543000.0,22548000.0,22538000.0,22542000.0,22548571.42857143,22546333.333333332,22554000.0
77,2022-12-08 19:55:00,22542000.0,22551000.0,22537000.0,22544000.0,22548428.57142857,22546400.0,22553300.0
78,2022-12-08 20:00:00,22551000.0,22556000.0,22541000.0,22542000.0,22546571.42857143,22545933.333333332,22552633.333333332
79,2022-12-08 20:05:00,22542000.0,22569000.0,22540000.0,22545000.0,22545571.42857143,22545466.666666668,22551766.666666668
80,2022-12-08 20:10:00,22545000.0,22567000.0,22545000.0,22545000.0,22544571.42857143,22546066.666666668,22551266.666666668
81,2022-12-08 20:15:00,22550000.0,22564000.0,22545000.0,22558000.0,22545714.285714287,22547000.0,22551466.666666668
82,2022-12-08 20:20:00,22558000.0,22560000.0,22543000.0,22558000.0,22547714.285714287,22548266.666666668,22550966.666666668
83,2022-12-08 20:25:00,22545000.0,22564000.0,22544000.0,22559000.0,22550142.85714286,22548800.0,22550700.0
84,2022-12-08 20:30:00,22559000.0,22563000.0,22544000.0,22548000.0,22550714.285714287,22549266.666666668,22549500.0
85,2022-12-08 20:35:00,22548000.0,22563000.0,22544000.0,22545000.0,22551142.85714286,22549266.666666668,22549133.333333332
86,2022-12-08 20:40:00,22545000.0,22560000.0,22543000.0,22543000.0,22550857.14285714,22548466.666666668,22548833.333333332
87,2022-12-08 20:45:00,22543000.0,22570000.0,22484000.0,22554000.0,22552142.85714286,22548600.0,22548700.0
88,2022-12-08 20:50:00,22568000.0,22571000.0,22528000.0,22562000.0,22552714.285714287,22549266.666666668,22548200.0
89,2022-12-08 20:55:00,22560000.0,22576000.0,22546000.0,22576000.0,22555285.714285713,22551000.0,22549266.666666668
90,2022-12-08 21:00:00,22576000.0,22590000.0,22564000.0,22590000.0,22559714.285714287,22554066.666666668,22550466.666666668
91,2022-12-08 21:05:00,22588000.0,22603000.0,22560000.0,22582000.0,22564571.42857143,22556733.333333332,22551533.333333332
92,2022-12-08 21:10:00,22582000.0,22595000.0,22549000.0,22581000.0,22569714.285714287,22559200.0,22552800.0
93,2022-12-08 21:15:00,22572000.0,22581000.0,22550000.0,22558000.0,22571857.14285714,22560266.666666668,22553100.0
94,2022-12-08 21:20:00,22558000.0,22582000.0,22549000.0,22575000.0,22574857.14285714,22562266.666666668,22553866.666666668
95,2022-12-08 21:25:00,22575000.0,22582000.0,22549000.0,22550000.0,22573142.85714286,22562600.0,22554333.333333332
96,2022-12-08 21:30:00,22557000.0,22582000.0,22550000.0,22575000.0,22573000.0,22563733.333333332,22555366.666666668
97,2022-12-08 21:35:00,22567000.0,22579000.0,22546000.0,22548000.0,22567000.0,22563066.666666668,22555666.666666668
98,2022-12-08 21:40:00,22548000.0,22566000.0,22538000.0,22546000.0,22561857.14285714,22562200.0,22555500.0
99,2022-12-08 21:45:00,22546000.0,22578000.0,22541000.0,22557000.0,22558428.57142857,22562800.0,22556033.333333332
