Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,4778.140137,4796.640137,4758.169922,4796.560059,4796.560059,3831020000
2022-01-04,4804.509766,4818.620117,4774.27002,4793.540039,4793.540039,4683170000
2022-01-05,4787.990234,4797.700195,4699.439941,4700.580078,4700.580078,4887960000
2022-01-06,4693.390137,4725.009766,4671.259766,4696.049805,4696.049805,4295280000
2022-01-07,4697.660156,4707.950195,4662.740234,4677.029785,4677.029785,4181510000
2022-01-10,4655.339844,4673.02002,4582.240234,4670.290039,4670.290039,4511810000
2022-01-11,4669.140137,4714.129883,4638.27002,4713.069824,4713.069824,4101590000
2022-01-12,4728.589844,4748.830078,4706.709961,4726.350098,4726.350098,4048220000
2022-01-13,4733.560059,4744.129883,4650.290039,4659.029785,4659.029785,4251730000
2022-01-14,4637.990234,4665.129883,4614.75,4662.850098,4662.850098,4338490000
2022-01-18,4632.240234,4632.240234,4568.700195,4577.109863,4577.109863,4748700000
2022-01-19,4588.029785,4611.549805,4530.200195,4532.759766,4532.759766,4465740000
2022-01-20,4547.350098,4602.109863,4477.950195,4482.72998,4482.72998,4640870000
2022-01-21,4471.379883,4494.52002,4395.339844,4397.939941,4397.939941,5589100000
2022-01-24,4356.319824,4417.350098,4222.620117,4410.129883,4410.129883,6928110000
2022-01-25,4366.640137,4411.009766,4287.109863,4356.450195,4356.450195,5145050000
2022-01-26,4408.430176,4453.22998,4304.799805,4349.930176,4349.930176,5570640000
2022-01-27,4380.580078,4428.740234,4309.5,4326.509766,4326.509766,5214200000
2022-01-28,4336.189941,4432.720215,4292.459961,4431.850098,4431.850098,5031090000
2022-01-31,4431.790039,4516.890137,4414.02002,4515.549805,4515.549805,5098610000
2022-02-01,4519.569824,4550.490234,4483.529785,4546.540039,4546.540039,4816830000
2022-02-02,4566.390137,4595.310059,4544.319824,4589.379883,4589.379883,4481580000
2022-02-03,4535.410156,4542.879883,4470.390137,4477.439941,4477.439941,4401970000
2022-02-04,4482.790039,4539.660156,4451.5,4500.529785,4500.529785,4706290000
2022-02-07,4505.75,4521.859863,4471.470215,4483.870117,4483.870117,4228480000
2022-02-08,4480.02002,4531.319824,4465.399902,4521.540039,4521.540039,4459620000
2022-02-09,4547.0,4590.029785,4547.0,4587.180176,4587.180176,4524350000
2022-02-10,4553.240234,4588.919922,4484.310059,4504.080078,4504.080078,5314860000
2022-02-11,4506.27002,4526.330078,4401.410156,4418.640137,4418.640137,5251500000
2022-02-14,4412.609863,4426.220215,4364.839844,4401.669922,4401.669922,4600390000
2022-02-15,4429.279785,4472.77002,4429.279785,4471.069824,4471.069824,4430830000
2022-02-16,4455.75,4489.549805,4429.680176,4475.009766,4475.009766,4283640000
2022-02-17,4456.060059,4456.060059,4373.810059,4380.259766,4380.259766,4539420000
2022-02-18,4384.569824,4394.600098,4327.220215,4348.870117,4348.870117,4708060000
2022-02-22,4332.740234,4362.120117,4267.109863,4304.759766,4304.759766,5121900000
2022-02-23,4324.930176,4341.509766,4221.509766,4225.5,4225.5,4797430000
2022-02-24,4155.77002,4294.72998,4114.649902,4288.700195,4288.700195,6752130000
2022-02-25,4298.379883,4385.339844,4286.830078,4384.649902,4384.649902,5177060000
2022-02-28,4354.169922,4388.839844,4315.120117,4373.939941,4373.939941,6071370000
2022-03-01,4363.140137,4378.450195,4279.540039,4306.259766,4306.259766,5846230000
2022-03-02,4322.560059,4401.47998,4322.560059,4386.540039,4386.540039,5337870000
2022-03-03,4401.310059,4416.779785,4345.560059,4363.490234,4363.490234,5039890000
2022-03-04,4342.120117,4342.120117,4284.97998,4328.870117,4328.870117,5797380000
2022-03-07,4327.009766,4327.009766,4199.850098,4201.089844,4201.089844,6940470000
2022-03-08,4202.660156,4276.939941,4157.870117,4170.700195,4170.700195,7243120000
2022-03-09,4223.100098,4299.399902,4223.100098,4277.879883,4277.879883,5662670000
2022-03-10,4252.549805,4268.279785,4209.799805,4259.52002,4259.52002,4980830000
2022-03-11,4279.5,4291.009766,4200.490234,4204.310059,4204.310059,4938640000
2022-03-14,4202.75,4247.569824,4161.720215,4173.109863,4173.109863,5574920000
2022-03-15,4188.819824,4271.049805,4187.899902,4262.450195,4262.450195,5392470000
2022-03-16,4288.140137,4358.899902,4251.990234,4357.859863,4357.859863,6309750000
2022-03-17,4345.109863,4412.669922,4335.649902,4411.669922,4411.669922,4985090000
2022-03-18,4407.339844,4465.399902,4390.569824,4463.120117,4463.120117,8278430000
2022-03-21,4462.399902,4481.75,4424.299805,4461.180176,4461.180176,4869820000
2022-03-22,4469.100098,4522.0,4469.100098,4511.609863,4511.609863,4754840000
2022-03-23,4493.100098,4501.069824,4455.810059,4456.240234,4456.240234,4550670000
2022-03-24,4469.97998,4520.580078,4465.169922,4520.160156,4520.160156,4131390000
2022-03-25,4522.910156,4546.029785,4501.069824,4543.060059,4543.060059,4305020000
2022-03-28,4541.089844,4575.649902,4517.689941,4575.52002,4575.52002,4312260000
2022-03-29,4602.859863,4637.299805,4589.660156,4631.600098,4631.600098,5085910000
2022-03-30,4624.200195,4627.77002,4581.319824,4602.450195,4602.450195,4385570000
2022-03-31,4599.02002,4603.069824,4530.410156,4530.410156,4530.410156,4823020000
2022-04-01,4540.319824,4548.700195,4507.569824,4545.859863,4545.859863,4562940000
2022-04-04,4547.970215,4583.5,4539.209961,4582.640137,4582.640137,4547350000
2022-04-05,4572.450195,4593.450195,4514.169922,4525.120117,4525.120117,4800620000
2022-04-06,4494.169922,4503.939941,4450.040039,4481.149902,4481.149902,4986830000
2022-04-07,4474.649902,4521.160156,4450.299805,4500.209961,4500.209961,4821490000
2022-04-08,4494.149902,4520.410156,4474.600098,4488.279785,4488.279785,4083200000
2022-04-11,4462.640137,4464.350098,4408.379883,4412.529785,4412.529785,4266290000
2022-04-12,4437.589844,4471.0,4381.339844,4397.450195,4397.450195,4152090000
2022-04-13,4394.299805,4453.919922,4392.700195,4446.589844,4446.589844,3828150000
2022-04-14,4449.120117,4460.459961,4390.77002,4392.589844,4392.589844,4083090000
2022-04-18,4385.629883,4410.310059,4370.299805,4391.689941,4391.689941,3910490000
2022-04-19,4390.629883,4471.029785,4390.629883,4462.209961,4462.209961,4108120000
2022-04-20,4472.259766,4488.290039,4448.759766,4459.450195,4459.450195,4290450000
2022-04-21,4489.169922,4512.939941,4384.470215,4393.660156,4393.660156,4636890000
2022-04-22,4385.830078,4385.830078,4267.620117,4271.779785,4271.779785,4651940000
2022-04-25,4255.339844,4299.02002,4200.819824,4296.120117,4296.120117,5240040000
2022-04-26,4278.140137,4278.140137,4175.040039,4175.200195,4175.200195,4689970000
2022-04-27,4186.52002,4240.709961,4162.899902,4183.959961,4183.959961,4769680000
2022-04-28,4222.580078,4308.450195,4188.629883,4287.5,4287.5,4854180000
2022-04-29,4253.75,4269.680176,4124.279785,4131.930176,4131.930176,5084030000
2022-05-02,4130.609863,4169.810059,4062.51001,4155.379883,4155.379883,5163790000
2022-05-03,4159.779785,4200.100098,4147.080078,4175.47998,4175.47998,4582050000
2022-05-04,4181.180176,4307.660156,4148.910156,4300.169922,4300.169922,5136360000
2022-05-05,4270.430176,4270.430176,4106.009766,4146.870117,4146.870117,5077030000
2022-05-06,4128.169922,4157.689941,4067.909912,4123.339844,4123.339844,5116940000
2022-05-09,4081.27002,4081.27002,3975.47998,3991.23999,3991.23999,5954520000
2022-05-10,4035.179932,4068.820068,3958.169922,4001.050049,4001.050049,5885820000
2022-05-11,3990.080078,4049.090088,3928.820068,3935.179932,3935.179932,5816140000
2022-05-12,3903.949951,3964.800049,3858.870117,3930.080078,3930.080078,6286450000
2022-05-13,3963.899902,4038.879883,3963.899902,4023.889893,4023.889893,5183340000
2022-05-16,4013.02002,4046.459961,3983.98999,4008.01001,4008.01001,4415030000
2022-05-17,4052.0,4090.719971,4033.929932,4088.850098,4088.850098,4841410000
2022-05-18,4051.97998,4051.97998,3911.909912,3923.679932,3923.679932,5103220000
2022-05-19,3899.0,3945.959961,3876.580078,3900.790039,3900.790039,5113550000
2022-05-20,3927.76001,3943.419922,3810.320068,3901.360107,3901.360107,5130730000
2022-05-23,3919.419922,3981.879883,3909.040039,3973.75,3973.75,4420030000
2022-05-24,3942.939941,3955.679932,3875.129883,3941.47998,3941.47998,4923190000
2022-05-25,3929.590088,3999.330078,3925.030029,3978.72998,3978.72998,4802560000
2022-05-26,3984.600098,4075.139893,3984.600098,4057.840088,4057.840088,4709970000
2022-05-27,4077.429932,4158.490234,4077.429932,4158.240234,4158.240234,4375620000
2022-05-31,4151.089844,4168.339844,4104.879883,4132.149902,4132.149902,6822640000
2022-06-01,4149.779785,4166.540039,4073.850098,4101.22998,4101.22998,4531800000
2022-06-02,4095.409912,4177.509766,4074.370117,4176.819824,4176.819824,4405790000
2022-06-03,4137.569824,4142.669922,4098.669922,4108.540039,4108.540039,3711110000
2022-06-06,4134.720215,4168.779785,4109.180176,4121.430176,4121.430176,4332700000
2022-06-07,4096.470215,4164.859863,4080.189941,4160.680176,4160.680176,4248210000
2022-06-08,4147.120117,4160.140137,4107.200195,4115.77002,4115.77002,4159470000
2022-06-09,4101.649902,4119.100098,4017.169922,4017.820068,4017.820068,4134170000
2022-06-10,3974.389893,3974.389893,3900.159912,3900.860107,3900.860107,4889640000
2022-06-13,3838.149902,3838.149902,3734.300049,3749.629883,3749.629883,5636890000
2022-06-14,3763.52002,3778.179932,3705.679932,3735.47998,3735.47998,5153890000
2022-06-15,3764.050049,3837.560059,3722.300049,3789.98999,3789.98999,5530480000
2022-06-16,3728.179932,3728.179932,3639.77002,3666.77002,3666.77002,5644930000
2022-06-17,3665.899902,3707.709961,3636.870117,3674.840088,3674.840088,8520740000
